,YEAR,catch,effort,pieces
1,1918,0.9,16600,NA
2,1919,0.9,16600,NA
3,1920,0.9,16600,NA
4,1921,0.9,16600,NA
5,1922,0.9,16600,NA
6,1923,0.9,16600,NA
7,1924,0.9,16600,NA
8,1925,0.9,16600,NA
9,1926,0.9,16600,NA
10,1927,0.9,16600,NA
11,1928,0.9,16600,NA
12,1929,0.9,16600,NA
13,1930,0.9,16600,NA
14,1931,0.9,16600,NA
15,1932,0.9,16600,NA
16,1933,0.9,16600,NA
17,1934,0.9,16600,NA
18,1935,0.9,16600,NA
19,1936,0.9,16600,NA
20,1937,0.9,16600,NA
21,1938,0.9,16600,NA
22,1939,0.9,16600,NA
23,1940,0.9,16600,NA
24,1941,0.9,16600,NA
25,1942,0.9,16600,NA
26,1943,0.9,16600,NA
27,1944,0.9,16600,NA
28,1945,0.9,16600,NA
29,1946,1,19800,NA
30,1947,2,39500,NA
31,1948,3.1,59300,NA
32,1949,4.1,79000,NA
33,1950,5.1,98800,NA
34,1951,6.1,118600,NA
35,1952,7.2,138300,NA
36,1953,8.2,158100,NA
37,1954,9.2,177800,NA
38,1955,10.2,197600,NA
39,1956,11.3,217400,NA
40,1957,12.3,237100,NA
41,1958,13.3,256900,NA
42,1959,14.3,276600,NA
43,1960,15.4,296400,NA
44,1961,17.2,332800,NA
45,1962,17.2,332800,NA
46,1963,17.2,332800,NA
47,1964,17.2,332800,NA
48,1965,17.2,332800,NA
49,1966,17.2,332800,NA
50,1967,17.2,332800,NA
51,1968,17.2,332800,NA
52,1969,17.2,332800,NA
53,1970,18.2,350300,NA
54,1971,19.1,367800,NA
55,1972,20,385300,NA
56,1973,20.9,402900,NA
57,1974,21.8,420400,NA
58,1975,22.7,437900,NA
59,1976,23.6,455400,NA
60,1977,24.5,472900,NA
61,1978,25.4,490400,NA
62,1979,26.3,507900,NA
63,1980,27.2,525500,NA
64,1981,15.9,306500,NA
65,1982,33.40323099,609738.37,13414.9522
66,1983,29.53304629,581763.52,11860.66116
67,1984,22.02304046,709685.92,8844.594561
68,1985,24.84371959,685082.44,9977.397426
69,1986,32.13094357,635438.39,12903.9934
70,1987,21.62188962,642697.79,8683.489806
71,1988,32.86592454,714448.13,13199.16648
72,1989,36.15660093,657638.42,14520.72326
73,1990,29.31266454,572526.86,11772.15443
74,1991,33.28933201,493093.11,13369.20964
75,1992,26.2830689,500667.52,10555.44936
76,1993,17.01143872,542848.34,6831.903099
77,1994,26.61918995,480410.96,10690.43773
78,1995,21.20888102,352769.78,8517.622899
79,1996,19.78391028,314722.24,7945.345492
80,1997,15.63881431,297398.87,6280.648317
81,1998,14.2869144,181874.13,5737.716627
82,1999,11.37379577,178133.25,4567.789466
83,2000,15.99576,201870,6424
84,2001,21.99417,206345,8833
85,2002,8.37636,217408,3364
86,2003,9.45453,197227,3797
87,2004,7.68414,148898,3086
88,2005,3.87195,125019,1555
89,2006,6.15528,119256,2472
90,2007,2.36799,128332,951
91,2008,4.44963,110568,1787
92,2009,4.13091,119343,1659
93,2010,4.60401,111307,1849
94,2011,4.78578,113544,1922
95,2012,5.07213,NA,2037
96,2013,11.14275,164466,4475
97,2014,1.89987,132320,763
98,2015,6.10548,159424,2452
99,2016,8.92416,143219,3584
100,2017,10.30362,168385,4138
101,2018,7.78374,199023,3126
102,2019,4.8804,111171,1960
