"","x"
"1",0.045
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.1
"10",0.123
"11",0.009
"12",0
"13",0
"14",0
"15",0.027
"16",0
"17",0
"18",157.891
"19",98.0405
"20",128.32268
"21",119.42234
"22",128.52961
"23",60.62949
"24",25.55083
"25",41.59907
"26",89.16487
"27",34.91819
"28",26.5724
"29",25.5785
"30",35.61857
"31",24.68583
"32",27.22606
"33",24.28047
"34",3.36677
"35",4.99912
"36",4.0426
"37",5.70797
"38",3.76934
"39",7.52017
"40",9.44757
"41",6.45552
"42",6.5174
"43",6.74885
"44",5.10264
"45",5.13691
"46",5.06826
"47",5.48743
"48",4.28921
"49",7.00375
"50",2.7157
