"","M","h","nll","B_BMSY"
"1",0.02,0.65,516.439916206122,0.282796991879509
"2",0.03,0.65,510.915771254037,0.469413158401006
"3",0.04,0.65,511.592460612157,0.584444482814556
"4",0.05,0.65,513.126808502853,0.780768528663298
"5",0.06,0.65,515.244593917489,1.00108226018747
"6",0.02,0.66,516.38566060448,0.289035460892619
"7",0.03,0.66,510.99302390746,0.478899162128357
"8",0.04,0.66,511.65303330158,0.598358023159722
"9",0.05,0.66,513.2068766743,0.801498913289082
"10",0.06,0.66,515.330051579992,1.02787406810981
"11",0.02,0.67,516.337414041089,0.295415644802777
"12",0.03,0.67,511.069987258729,0.488467467972549
"13",0.04,0.67,511.713943293361,0.612698015587718
"14",0.05,0.67,513.286803839754,0.822681477306278
"15",0.06,0.67,515.414604773129,1.05524752050497
"16",0.02,0.68,516.294932931178,0.301959993157413
"17",0.03,0.68,511.146639943054,0.498323911175086
"18",0.04,0.68,511.775236976812,0.627537714557529
"19",0.05,0.68,513.366570989945,0.844373867268989
"20",0.06,0.68,515.498262816196,1.08322540177569
"21",0.02,0.69,516.257269659421,0.308104758078559
"22",0.03,0.69,511.222959558346,0.507969699525187
"23",0.04,0.69,511.836974387042,0.643050417621831
"24",0.05,0.69,513.446166310299,0.866613729158938
"25",0.06,0.69,515.581035298713,1.1118371715339
"26",0.02,0.7,516.223478909103,0.314405704473194
"27",0.03,0.7,511.298114891727,0.517248216527481
"28",0.04,0.7,511.899265645446,0.659115608485372
"29",0.05,0.7,513.52558264016,0.889438391808323
"30",0.06,0.7,515.662931749237,1.14113964623208
"31",0.02,0.71,516.19346766207,0.320896477298849
"32",0.03,0.71,511.372197309948,0.527401632738048
"33",0.04,0.71,511.962176889467,0.676033931637804
"34",0.05,0.71,513.604810458975,0.912851465542183
"35",0.06,0.71,515.743961553608,1.17113538334309
"36",0.02,0.72,516.167176892557,0.327583016529479
"37",0.03,0.72,511.446278353651,0.538742330135041
"38",0.04,0.72,512.025825497012,0.693538740894829
"39",0.05,0.72,513.683841239876,0.936918732236539
"40",0.06,0.72,515.824134177883,1.20193268053738
"41",0.02,0.73,516.144418942256,0.33441467736231
"42",0.03,0.73,511.520630706574,0.550421365344631
"43",0.04,0.73,512.090186927122,0.711573504002124
"44",0.05,0.73,513.76267050333,0.961682876946945
"45",0.06,0.73,515.903458817544,1.23353247564041
"46",0.02,0.74,516.125056652569,0.341448684180672
"47",0.03,0.74,511.595253206885,0.562224560430275
"48",0.04,0.74,512.155282949541,0.730339135892164
"49",0.05,0.74,513.84128904024,0.987159150454423
"50",0.06,0.74,515.981944531363,1.2660300389108
"51",0.02,0.75,516.109023102127,0.34872599695211
"52",0.03,0.75,511.669357986302,0.573096519516117
"53",0.04,0.75,512.221116329966,0.749659849010491
"54",0.05,0.75,513.919687436872,1.01340163362161
"55",0.06,0.75,516.059600377315,1.29948370414034
